ID,time,devEUI,deviceName,in6,in18,in36,moist_open_6,moist_open_18,moist_open_36,moist_sub_6,moist_sub_18,moist_sub_36
baeb7cc6-bf20-11e9-94a0-b827eb637591,1565848291,0004A30B0021441C,021441C,TER19260074d,TER19260012d,TER19260074e,2.7577,2.7931,2.7694,2.1868,2.3314,2.3494
62428e02-c7c7-11e9-921b-b827eb637591,1566799477,0004A30B0021450A,021450A,TER19260092b,TER19260092c,TER19260053e,2.2492,2.3703,2.5204,2.2701,2.3644,2.3821
6c5184e4-753c-11e9-b602-b827eb637591,1557723799,0004A30B0021453C,021453C,TERA00321d,TERA00321e,TERA00320a,2.8382,2.81,2.9132,2.1178,1.9749,2.1605
1e7073d6-6a3b-11e9-b91a-b827eb637591,1556513776,0004A30B00214561,0214561,TERA00193a,TERA00193b,TERA00193c,2.8184,2.8071,2.8861,2.3008,2.3518,2.3104
5f5e3932-7567-11e9-80a0-b827eb637591,1557742245,0004A30B002145CE,02145CE,TERA00077a,TERA00077b,TERA00077d,2.7988,2.8122,2.8611,1.944,2.3719,2.2696
84eee694-754c-11e9-998e-b827eb637591,1557730712,0004A30B0021465A,021465A,TERA00178c,TERA00178d,TERA00178e,2.8208,2.8229,2.8654,2.1215,2.2279,2.1812
886a7d84-7555-11e9-ae9b-b827eb637591,1557734583,0004A30B0021466D,021466D,TERA00088a,TERA00088b,TERA00088c,2.8471,2.824,2.9358,2.1815,2.1691,1.9803
4030b964-6675-11e9-92c0-b827eb637591,1556098939,0004A30B00214677,0214677,TERA00092a,TERA00092b,TERA00092c,2.831,2.8552,2.8705,2.37,2.3897,2.2908
bcacc2b4-7550-11e9-87e6-b827eb637591,1557732523,0004A30B002146C4,02146C4,TERA00184a,TERA00184b,TERA00184c,2.2185,2.2311,2.0246,2.2185,2.2306,2.0238
4934b8d2-7550-11e9-ac80-b827eb637591,1557732330,0004A30B002147C2,02147C2,TERA00202a,TERA00202b,TERA00202c,2.8522,2.8447,2.933,2.0899,2.1473,2.2347
5d430b0a-7553-11e9-9d64-b827eb637591,1557733652,0004A30B002147C9,02147C9,TERA00224a,TERA00224b,TERA00224c,2.3568,2.268,2.1971,2.1898,1.9104,1.8814
9acfc14e-bf21-11e9-8f69-b827eb637591,1565848666,0004A30B002147E3,02147E3,TER19260076a,TER19260095d,TER19260076e,2.7598,2.788,2.82,2.1763,2.1653,2.1968
0a2d813c-c7ad-11e9-b007-b827eb637591,1566788163,0004A30B00214835,0214835,TER19260092b,TER19260092c,TER19260053e,2.7464,2.7977,2.817,2.4047,2.3991,2.4493
3a0d4892-bf4c-11e9-845c-b827eb637591,1565866972,0004A30B00214926,0214926,TER19260058a,TER19260058b,TER19260058c,2.8173,2.8028,2.8791,2.3373,2.2948,2.1755
d6415d28-756b-11e9-8b16-b827eb637591,1557744163,0004A30B00215E2D,0215E2D,TERA00240a,TERA00240b,TERA00240c,2.8487,2.846,2.8874,2.312,2.3636,2.0982
d9a14744-65a3-11e9-acbe-b827eb637591,1556009002,0004A30B00215EC5,0215EC5,TERA000146d,TERA000146e,TERA000140a,2.7217,2.8289,2.9159,2.1771,2.2712,2.1911
c7b53760-65a4-11e9-848f-b827eb637591,1556009401,0004A30B00215EFD,0215EFD,TERA00085a,TERA00085b,TERA000128e,2.8418,2.8089,2.6883,2.3515,2.3265,2.2089
7c9bfa40-6674-11e9-986d-b827eb637591,1556098610,0004A30B00216005,0216005,TERA000100a,TERA000100c,TERA000100d,2.8342,2.823,2.8592,2.3902,2.3469,2.3555
e365881c-7304-11e9-b852-b827eb637591,1557480044,0004A30B0021606B,021606B,TERA000132a,TERA000132b,TERA000132c,2.7134,2.8506,2.9333,2.3477,2.3998,2.3397
eae31758-7539-11e9-b42e-b827eb637591,1557722723,0004A30B00216178,0216178,TERA000126a,TERA000126c,TERA000126d,2.8347,2.8288,2.8769,2.1995,2.2714,2.0166
50ed8c34-c7c6-11e9-810a-b827eb637591,1566799019,0004A30B0021617B,021617B,TER19260092b,TER19260092c,TER19260053e,2.4162,2.4224,2.2938,2.4235,2.3931,2.4407
5d6ca2c6-c7c9-11e9-a78c-b827eb637591,1566800328,0004A30B002162EC,02162EC,TER19260092b,TER19260092c,TER19260053e,2.2414,2.3725,2.7859,2.2706,2.3687,2.3878
f3fcec58-65a6-11e9-9f77-b827eb637591,1556010334,0004A30B00216358,0216358,TERA00061b,TERA00061c,TERA00061d,2.8388,2.8525,2.8909,2.3488,2.3558,2.2475
6aeac6c4-6632-11e9-8bec-b827eb637591,1556070234,0004A30B00216387,0216387,TERA000101a,TERA000101b,TERA000101c,2.8385,2.8347,2.8665,2.4248,2.4423,2.3518
a93299d2-c002-11e9-b4f4-b827eb637591,1565945327,0004A30B002163AA,02163AA,TER19260064c,TER19260064d,TER19260064e,2.8267,2.8181,2.8664,2.1009,2.2358,2.1645
f8d7bdc4-7547-11e9-b377-b827eb637591,1557728759,0004A30B0021644A,021644A,TERA00181c,TERA00181d,TERA00315a,2.8466,2.8326,2.9309,2.1747,2.2553,2.2999
e47d2adc-76d5-11e9-9b35-b827eb637591,1557899665,0004A30B0021648C,021648C,TERA00228d,TERA00229d,TERA00229e,2.8694,2.8138,2.8772,2.1315,2.1944,2.1801
4220f74e-65a2-11e9-8246-b827eb637591,1556008318,0004A30B002164B9,02164B9,TERA00076d,TERA00076e,TERA00071a,2.8356,2.8417,2.9355,2.3571,2.2591,2.3757
